dataset_or_family,documented_fbc_nn_training,documented_fbc_nn_benchmark,documented_drunet_training,documented_drunet_benchmark,primary_test_eligibility,decision_basis,evidence_urls
DIV2K,yes,no,yes,no,exclude,"Documented training-family exposure for both components; exact checkpoint image manifests unavailable.","https://github.com/jiaxi-jiang/FBCNN/blob/54d1831927506b3247e2d4d245abb4f4dab1a1cd/options/train_fbcnn_color.json | https://arxiv.org/abs/2008.13751"
Flickr2K,yes,no,yes,no,exclude,"Documented training-family exposure for both components.","https://github.com/jiaxi-jiang/FBCNN/blob/54d1831927506b3247e2d4d245abb4f4dab1a1cd/options/train_fbcnn_color.json | https://arxiv.org/abs/2008.13751"
BSD400 / BSD family,no,"BSDS500 colour and gray",yes,"BSD68 / CBSD68",exclude,"DRUNet reports 400 BSD training images and BSD-family evaluation; FBCNN reports BSDS500 evaluation. Parent-corpus separation is insufficiently documented for a strict primary test.","https://github.com/jiaxi-jiang/FBCNN/blob/54d1831927506b3247e2d4d245abb4f4dab1a1cd/main_test_fbcnn_color.py | https://arxiv.org/abs/2008.13751"
Waterloo Exploration Database,no,no,yes,no,exclude,"Documented DRUNet training exposure.","https://arxiv.org/abs/2008.13751"
LIVE1,no,yes,no,yes,exclude,"Documented benchmark exposure for both model families; not a fresh strict confirmatory cohort.","https://github.com/jiaxi-jiang/FBCNN/blob/54d1831927506b3247e2d4d245abb4f4dab1a1cd/main_test_fbcnn_color.py | https://arxiv.org/abs/2008.13751"
Classic5,no,"gray benchmark",no,"JPEG deblocking benchmark",exclude,"Documented benchmark exposure for both model families; not a fresh strict confirmatory cohort.","https://github.com/jiaxi-jiang/FBCNN/blob/54d1831927506b3247e2d4d245abb4f4dab1a1cd/main_test_fbcnn_gray.py | https://arxiv.org/abs/2008.13751"
ICB,no,yes,no,no,exclude,"Documented FBCNN benchmark exposure; no documented DRUNet exposure found in the reviewed paper.","https://github.com/jiaxi-jiang/FBCNN/blob/54d1831927506b3247e2d4d245abb4f4dab1a1cd/main_test_fbcnn_color.py"
Kodak24,no,no,no,yes,exclude,"No documented training overlap in reviewed sources, but documented DRUNet benchmark exposure makes it unsuitable as the strict primary cohort.","https://arxiv.org/abs/2008.13751"
McMaster18,no,no,no,yes,exclude,"No documented training overlap in reviewed sources, but documented DRUNet benchmark exposure makes it unsuitable as the strict primary cohort.","https://arxiv.org/abs/2008.13751"
Set12,no,no,no,yes,exclude,"Documented DRUNet benchmark exposure.","https://arxiv.org/abs/2008.13751"
TESTIMAGES/SAMPLING,no documented exposure found,no documented exposure found,no documented exposure found,no documented exposure found,eligible with caveat,"Use all 40 files from the exact 8-bit RGB 2400x2400 archive. The conclusion is limited to the reviewed pinned publications and repository files; absence from documentation is not proof of checkpoint-level non-exposure.","https://testimages.org/sampling/ | https://sourceforge.net/projects/testimages/files/SAMPLING/8BIT/RGB/ | https://doi.org/10.1080/2165347X.2015.1024298"
