Study ID,Year,Authors,Title,Venue,Publication type,Peer reviewed,Modality,Forward model,Mismatch type,Solver family,Physics integration,Joint image/operator,Image UQ,Operator UQ,Calibration,OOD test,Real data/hardware,Compound degradation,Time varying,Hallucination test,Abstention,Code available,Evidence status,Inclusion decision,Closest competitor,Gap left open,Primary source URL,Review notes
P001,2020,Dong et al.,Deep Learning for Handling Kernel/Model Uncertainty in Image Deconvolution,CVPR,Conference,Yes,Deblurring,Convolutional blur,Kernel/model error,Deep TLS unrolling,Hard/iterative,Partial,No,Partial,No,Yes,Partial,No,No,No,No,Unknown,Abstract verified,Include,Yes,No joint calibrated image/operator uncertainty; no compound acquisition chain,https://doi.org/10.1109/CVPR42600.2020.00246,Cornerstone mismatch paper
P002,2020,Li et al.,NETT: Solving Inverse Problems with Deep Neural Networks,Inverse Problems,Journal,Yes,Tomography/inverse imaging,Generic operator,None central,Learned regularisation,Soft/variational,No,No,No,No,Partial,Partial,No,No,No,No,Unknown,Full citation verified,Include,No,Not a joint mismatch/UQ/failure system,https://doi.org/10.1088/1361-6420/ab6d57,Theoretical physics-informed baseline
P003,2020,Antun et al.,On Instabilities of Deep Learning in Image Reconstruction and the Potential Costs of AI,PNAS,Journal,Yes,MRI/CT,Sampling operator,Perturbation/structural shift,Diagnostic study,,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Full citation verified,Include,Yes,Diagnoses risk but does not build a unified corrective solver,https://doi.org/10.1073/pnas.1907377117,Reliability foundation
P004,2020,Rim et al.,Real-World Blur Dataset for Learning and Benchmarking Deblurring Algorithms,CVPR,Conference,Yes,Deblurring,Camera motion blur,Real blur,Dataset/benchmark,,No,No,No,No,Partial,Yes,No,No,No,No,Yes,Full citation verified,Include,No,Blur-specific; no full surveillance pipeline or UQ,https://openaccess.thecvf.com/content_CVPR_2020/html/Rim_Real-World_Blur_Dataset_for_Learning_and_Benchmarking_Deblurring_Algorithms_CVPR_2020_paper.html,Data source candidate
P005,2021,Zeng & Lam,Robust Reconstruction With Deep Learning to Handle Model Mismatch in Lensless Imaging,IEEE TCI,Journal,Yes,Lensless imaging,PSF/lensless model,PSF and angular-model mismatch,Unrolled mismatch-compensation network,Hard/iterative,Partial,No,No,No,Yes,Yes,No,No,No,No,Unknown,Full citation verified,Include,Yes,"Modality-specific; no calibrated UQ, support map or abstention",https://doi.org/10.1109/TCI.2021.3114542,Nearest early mismatch competitor
P006,2021,Gilton et al.,Deep Equilibrium Architectures for Inverse Problems in Imaging,IEEE TCI,Journal,Yes,Generic inverse imaging,Linear operator,None central,Deep equilibrium/unrolling,Hard/iterative,No,No,No,No,Partial,Partial,No,No,No,No,Yes,Full citation verified,Include,No,Assumes usable known operator; mismatch reliability not central,https://doi.org/10.1109/TCI.2021.3118944,Architecture baseline
P007,2021,Sun & Bouman,Deep Probabilistic Imaging,AAAI,Conference,Yes,MRI/radio imaging,Linear operator,None central,Variational generative posterior,Soft likelihood,No,Yes,No,Partial,No,Partial,No,No,No,No,Yes,Abstract verified,Include,No,Image posterior only; operator mismatch not jointly represented,https://ojs.aaai.org/index.php/AAAI/article/view/16430,UQ foundation
P008,2021,Bhadra et al.,On Hallucinations in Tomographic Image Reconstruction,IEEE TMI,Journal,Yes,Tomography,Tomographic operator,Prior/data shift,Hallucination analysis,Range/null decomposition,No,No,No,No,Yes,Partial,No,No,Yes,No,Yes,Full citation verified,Include,Yes,"Diagnostic framework, not compound mismatch-aware reconstruction",https://doi.org/10.1109/TMI.2021.3077857,Faithfulness foundation
P009,2021,Zhang et al.,Designing a Practical Degradation Model for Deep Blind Image Super-Resolution,ICCV,Conference,Yes,Super-resolution,Synthetic degradation chain,Composite shuffled degradation,GAN/CNN restoration,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full citation verified,Include,No,"No operator recovery, calibration, measurement support or abstention",https://openaccess.thecvf.com/content/ICCV2021/html/Zhang_Designing_a_Practical_Degradation_Model_for_Deep_Blind_Image_Super-Resolution_ICCV_2021_paper.html,Degradation simulator baseline
P010,2021,Wang et al.,Real-ESRGAN: Training Real-World Blind Super-Resolution With Pure Synthetic Data,ICCV Workshops,Conference,Yes,Super-resolution,High-order synthetic degradation,Composite/high-order degradation,GAN restoration,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full citation verified,Include,No,Perceptual restoration lacks calibrated fidelity controls,https://openaccess.thecvf.com/content/ICCV2021W/AIM/html/Wang_Real-ESRGAN_Training_Real-World_Blind_Super-Resolution_With_Pure_Synthetic_Data_ICCVW_2021_paper.html,Generative restoration baseline
