Study ID,Year,Authors,Title,Venue,Publication type,Peer reviewed,Modality,Forward model,Mismatch type,Solver family,Physics integration,Joint image/operator,Image UQ,Operator UQ,Calibration,OOD test,Real data/hardware,Compound degradation,Time varying,Hallucination test,Abstention,Code available,Evidence status,Inclusion decision,Closest competitor,Gap left open,Primary source URL,Review notes
P001,2020,Dong et al.,Deep Learning for Handling Kernel/Model Uncertainty in Image Deconvolution,CVPR,Conference,Yes,Deblurring,Convolutional blur,Kernel/model error,Deep TLS unrolling,Hard/iterative,Partial,No,Partial,No,Yes,Partial,No,No,No,No,Unknown,Abstract verified,Include,Yes,No joint calibrated image/operator uncertainty; no compound acquisition chain,https://doi.org/10.1109/CVPR42600.2020.00246,Cornerstone mismatch paper
P003,2020,Antun et al.,On Instabilities of Deep Learning in Image Reconstruction and the Potential Costs of AI,PNAS,Journal,Yes,MRI/CT,Sampling operator,Perturbation/structural shift,Diagnostic study,,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Full citation verified,Include,Yes,Diagnoses risk but does not build a unified corrective solver,https://doi.org/10.1073/pnas.1907377117,Reliability foundation
P005,2021,Zeng & Lam,Robust Reconstruction With Deep Learning to Handle Model Mismatch in Lensless Imaging,IEEE TCI,Journal,Yes,Lensless imaging,PSF/lensless model,PSF and angular-model mismatch,Unrolled mismatch-compensation network,Hard/iterative,Partial,No,No,No,Yes,Yes,No,No,No,No,Unknown,Full citation verified,Include,Yes,"Modality-specific; no calibrated UQ, support map or abstention",https://doi.org/10.1109/TCI.2021.3114542,Nearest early mismatch competitor
P008,2021,Bhadra et al.,On Hallucinations in Tomographic Image Reconstruction,IEEE TMI,Journal,Yes,Tomography,Tomographic operator,Prior/data shift,Hallucination analysis,Range/null decomposition,No,No,No,No,Yes,Partial,No,No,Yes,No,Yes,Full citation verified,Include,Yes,"Diagnostic framework, not compound mismatch-aware reconstruction",https://doi.org/10.1109/TMI.2021.3077857,Faithfulness foundation
P011,2022,Angelopoulos et al.,Image-to-Image Regression with Distribution-Free Uncertainty Quantification and Applications in Imaging,ICML,Conference,Yes,MRI/microscopy/SR,Task-dependent,Model error,Conformal UQ,,No,Yes,No,Yes,Partial,Yes,No,No,Partial,Partial,Yes,Full citation verified,Include,Yes,Does not infer unknown operators; OOD validity needs careful design,https://proceedings.mlr.press/v162/angelopoulos22a.html,Calibration foundation
P013,2022,Li et al.,All-in-One Image Restoration for Unknown Corruption,CVPR,Conference,Yes,Multi-task restoration,Implicit corruption process,Multiple corruption types/levels,Contrastive degradation encoder,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full citation verified,Include,Yes,"No explicit operator estimation, calibrated UQ or support test",https://openaccess.thecvf.com/content/CVPR2022/html/Li_All-in-One_Image_Restoration_for_Unknown_Corruption_CVPR_2022_paper.html,Nearest all-in-one baseline
P017,2023,Wang et al.,Denoising Diffusion Null-Space Model,ICLR,Conference,Yes,Multiple inverse tasks,Linear operator,None central,Range/null diffusion,Hard/range-null,No,Partial,No,No,Partial,Partial,No,No,Yes,No,Yes,Full citation verified,Include,Yes,Blind compound mismatch and calibrated support remain open,https://openreview.net/forum?id=mRieQgMtNTQ,Support-map component
P018,2023,Chung et al.,Parallel Diffusion Models of Operator and Image for Blind Inverse Problems,CVPR,Conference,Yes,Deblurring/turbulence,Known functional form,Blind operator parameters,Parallel diffusion priors,Soft likelihood,Yes,Partial,Partial,No,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,No calibrated joint UQ or abstention; operator-prior burden,https://openaccess.thecvf.com/content/CVPR2023/html/Chung_Parallel_Diffusion_Models_of_Operator_and_Image_for_Blind_Inverse_Problems_CVPR_2023_paper.html,Nearest blind diffusion competitor
P019,2023,Murata et al.,GibbsDDRM,ICML,Conference,Yes,Blind linear inverse tasks,Linear operator family,Blind parameters,Gibbs diffusion sampler,Hard/likelihood,Yes,Yes,Yes,Partial,Yes,Partial,No,No,No,No,Yes,Full citation verified,Include,Yes,Simplified forward families; real compound calibration remains,https://proceedings.mlr.press/v202/murata23a.html,Nearest joint posterior competitor
P020,2023,Potlapalli et al.,PromptIR: Prompting for All-in-One Blind Image Restoration,NeurIPS,Conference,Yes,Multi-task restoration,Implicit corruption process,Multiple degradation types/levels,Prompt-conditioned transformer,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full citation verified,Include,Yes,"No physics traceability, calibrated UQ or failure policy",https://proceedings.neurips.cc/paper_files/paper/2023/hash/e187897ed7780a17bb69ab19f3be921f-Abstract-Conference.html,Nearest all-in-one baseline
